batch_id,id,meta.code_1,meta.code_2,meta.code_3,meta.code_4,meta.code_5,meta.code_6,meta.code_7,meta.code_8,meta.code_9,meta.code_10,meta.code_11,meta.code_12,meta.code_13,meta.code_14,label,description
0756,tamms6-e1333599779578.jpg,,,,,,,,,,,,,,,tamms6-e1333599779578.jpg,
0757,tammsmom.jpg,,,,,,,,,,,,,,,tammsmom.jpg,
0758,tammsmom4-e1333599431827.jpg,Protests/Marches: miscellaneous ,Violence: Police Violence,,,,,,,,,,,,,tammsmom4-e1333599431827.jpg,"Protests/Marches: miscellaneous , Violence: Police Violence"
0759,Tattoo 2.png,Apparel/Embodiment ,Carceral Imagery: Police Imagery ,Carceral Imagery: Police Imagery : Car ,Elements: Fire,,,,,,,,,,,Tattoo 2.png,"Apparel/Embodiment , Carceral Imagery: Police Imagery , Carceral Imagery: Police Imagery : Car , Elements: Fire"
0760,Tikkun-2012-Ansfield-41-4.jpg,Art: miscellaneous (11) ,Community: miscellaneous (3) ,Community: Safety ,Infrastructure/Needs: miscellaneous (10),,,,,,,,,,,Tikkun-2012-Ansfield-41-4.jpg,"Art: miscellaneous (11) , Community: miscellaneous (3) , Community: Safety , Infrastructure/Needs: miscellaneous (10)"
0761,TIM200615_Floyd.Cover_..jpg,,,,,,,,,,,,,,,TIM200615_Floyd.Cover_..jpg,
0762,TPantidebtwatch.jpg,,,,,,,,,,,,,,,TPantidebtwatch.jpg,
0763,Transdayofvisibility.jpg,,,,,,,,,,,,,,,Transdayofvisibility.jpg,
0764,tumblr_mqqmvbyA8E1qbq9w8o1_540.png,,,,,,,,,,,,,,,tumblr_mqqmvbyA8E1qbq9w8o1_540.png,
0765,Unknown 2.jpeg,,,,,,,,,,,,,,,Unknown 2.jpeg,
0766,Unknown-1.jpeg,,,,,,,,,,,,,,,Unknown-1.jpeg,
